ID,Name,Address,City,State,Zip,Classification,PayMethod,Salary,Hourly,Commission,Route,Account,DOB,SSN,StartDate,IsManager,IsArchived,EmpTitle,Department,OfficePhone,OfficeEmail,Password
688997,Karina Gay,998 Vitae St.,Atlanta,GA,45169,1,1,45884.99,46.92,34.0,30417353-K,465794-3611,4/3/1988,142-95-3576,1/10/2006,1,0,,Security,765-148-6331,GayKarina@uvu.edu,836Protoss$
522759,TaShya D. Snow,2624 Hendrerit St.,College,AK,99789,2,2,50005.5,68.13,25.0,36644938-8,244269-0000,4/4/1970,918-71-2680,19/8/2006,0,1,Druid,Science,375-342-4099,D.TaShya@uvu.edu,728Terran#
165966,Rooney Alvarado,4963 Nisl. St. Ap #185,Gillette,WY,20226,3,2,34532.37,21.53,24.0,37324307-8,422046-0739,13/5/1957,956-67-3065,17/10/2013,0,0,Wizard,Command,389-316-3897,AlvaradoRooney@uvu.edu,666Protoss*
983010,Jolene Burgess,P.O. Box 873,South Burlington,VT,32036,2,2,20042.77,40.17,23.0,15300058-1,828625-2906,13/9/1978,567-16-8974,16/2/2000,1,1,Wizard,Science,893-857-5629,BurgessJolene@uvu.edu,902Zerg*
939825,Yoko M. Pitts,4825 Nec Ave,Meridian,ID,45614,1,1,35251.89,46.64,13.0,44553589-3,785957-2104,2/6/1991,402-16-5983,1/5/2007,0,1,Bard,Medical,417-202-2404,M.Yoko@uvu.edu,610Protoss*
379767,Jin W. Morrison,8628 Id St.,Milwaukee,WI,80356,3,1,64467.1,82.98,33.0,21038669-6,654904-8491,26/10/1999,993-22-6789,10/4/2005,0,0,Fighter,Science,910-295-5972,W.Jin@uvu.edu,971Protoss*
900100,Sopoline Bullock,4963 Nisl. St. Ap #579,Idaho Falls,ID,65094,1,2,81929.49,42.76,16.0,46979340-0,485847-0083,21/7/1967,852-49-6963,23/8/2005,0,1,Paladin,Science,947-651-3894,BullockSopoline@uvu.edu,731Zerg@
969829,Bruce A. Raymond,65009 Iaculis Road,Juneau,AK,99719,1,2,37697.26,17.33,22.0,28504011-6,397558-4404,11/8/1984,185-18-9470,19/2/2019,0,1,Cleric,Command,929-648-2774,A.Bruce@uvu.edu,817Zerg$
283809,Hanae Dickson,1633 Dolor Av.,Dover,DE,61813,1,2,51018.46,91.22,35.0,48786143-K,295643-0090,19/2/1974,210-31-7280,18/5/2005,0,1,Monk,Command,352-571-1223,DicksonHanae@uvu.edu,876Zerg#
224568,Jenna B. Strickland,70156 Rutrum Street,Phoenix,AZ,86207,1,1,57545.39,24.7,23.0,33878326-4,248847-6397,22/6/1991,448-69-9990,12/2/2010,1,1,Sorcerer,Engineer,994-354-3199,B.Jenna@uvu.edu,563Zerg@
752867,Ruth S. Haley,6384 Risus Av. Ap #943,Waterbury,CT,58012,2,1,61050.17,42.26,24.0,12046284-9,399575-5166,10/4/1957,837-20-5729,3/1/2001,0,1,Sorcerer,Science,172-477-4712,S.Ruth@uvu.edu,857Protoss@
163695,Beatrice P. Ware,8903 Eget Rd.,Oklahoma City,OK,20552,1,1,46342.01,86.47,17.0,26387832-9,212804-3003,18/7/1969,440-84-7445,5/7/2008,0,0,Fighter,Engineer,507-604-8172,P.Beatrice@uvu.edu,921Zerg*
226423,Randall Horton,3834 Tortor Av.,Topeka,KS,52541,2,2,40872.6,57.05,31.0,13255163-4,104934-8350,6/4/1997,186-61-2396,20/3/2006,1,0,Rogue,Command,464-506-3730,HortonRandall@uvu.edu,665Terran$
349833,Damian Garrison,1646 In Street,San Francisco,CA,95787,2,2,99571.55,82.41,19.0,45550736-7,779184-5410,19/8/1976,100-71-9770,29/11/2017,1,0,Paladin,Command,555-110-1225,GarrisonDamian@uvu.edu,924Terran#
531061,Alvin Guerrero,248 Mauris St. Ap #748,Indianapolis,IN,92237,2,2,56430.96,38.42,27.0,16935557-6,994966-8363,7/7/1957,573-96-3215,26/8/2015,0,1,Barbarian,Science,974-591-3534,GuerreroAlvin@uvu.edu,583Terran*
169927,Alexandra Y. Duke,P.O. Box 727,Springfield,MA,50647,2,2,31631.98,95.73,13.0,23609043-4,538878-8548,13/8/1960,203-26-5345,24/4/2007,1,1,Druid,Science,415-836-6492,Y.Alexandra@uvu.edu,356Zerg$
454912,Sylvester J. Rowland,8628 Pede Ave,Baltimore,MD,93306,1,1,49570.97,25.2,32.0,5363288-2,339235-5453,7/11/1977,855-97-6182,5/11/2018,1,1,Barbarian,Medical,892-865-4361,J.Sylvester@uvu.edu,758Zerg@
285767,Porter Wolfe,4842 Tincidunt Av.,Miami,FL,44875,1,1,41212.83,87.54,22.0,16506147-0,087434-1662,12/6/1996,386-60-9628,10/6/2010,1,1,Barbarian,Science,650-832-5779,WolfePorter@uvu.edu,578Protoss@
674261,Scott T. Shields,8402 Pretium Rd. Ap #163,Grand Rapids,MI,26321,1,1,86913.93,83.43,15.0,21871936-8,779622-5618,11/11/1985,191-70-6374,24/1/2012,0,0,Barbarian,Security,119-480-9416,T.Scott@uvu.edu,473Protoss*
265154,Amir Mcintosh,83493 Nibh. Ave,West Jordan,UT,40532,3,2,91254.76,67.73,27.0,8752077-3,866009-0500,6/8/1986,951-89-6555,22/9/2008,1,1,Cleric,Engineer,592-955-5951,McintoshAmir@uvu.edu,700Terran*
160769,Grant X. Mccarthy,9846 Arcu. Road,Ketchikan,AK,99634,3,1,36025.38,79.99,11.0,7117844-7,288413-2164,27/11/1962,319-40-6434,16/2/2011,0,0,Ranger,Security,181-502-1885,X.Grant@uvu.edu,548Protoss*
426824,Mira Y. Wolf,37224 Pharetra Ave,Savannah,GA,22329,1,2,45576.8,26.99,34.0,12666803-1,158217-3462,15/3/1992,162-46-4685,3/9/2012,1,0,Druid,Engineer,483-164-1299,Y.Mira@uvu.edu,965Zerg#
502141,Brock Sandoval,4882 Consectetuer Street,Wyoming,WY,15840,2,1,58436.75,26.25,32.0,13977869-3,906688-1963,1/10/1980,923-45-1216,22/4/2008,1,1,Cleric,Security,774-463-5875,SandovalBrock@uvu.edu,887Zerg#
934003,Kelsey K. Saunders,9920 Aliquam Av. Ap #128,Salt Lake City,UT,97100,1,1,42548.72,31.24,18.0,37723944-K,769125-4564,8/10/1979,543-97-9363,12/9/2012,1,1,Fighter,Medical,704-554-4451,K.Kelsey@uvu.edu,782Protoss@
377013,Teagan Goodwin,P.O. Box 317,Akron,OH,66603,3,2,69765.24,84.73,13.0,24639186-6,433898-4976,23/1/1955,338-60-8193,5/11/2004,0,1,Cleric,Science,813-816-2731,GoodwinTeagan@uvu.edu,791Protoss*
